Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
efalse | tfalse | 7 / -4 | -3 | -5 | -1 | 3
etrue | ttrue | 7 / -3 | -2 | 1 | -2 | 1
etrue | ttrue | 7 / -2 | -3 | 1 | -3 | 1
etrue | ttrue | 7 / -1 | -7 | 0 | -7 | 0
efalse | tfalse | 8 / -10 | -2 | -12 | 0 | 8
efalse | tfalse | 8 / -9 | -2 | -10 | 0 | 8
etrue | ttrue | 8 / -8 | -1 | 0 | -1 | 0
etrue | ttrue | 8 / -7 | -1 | 1 | -1 | 1
etrue | ttrue | 8 / -6 | -1 | 2 | -1 | 2
efalse | tfalse | 8 / -5 | -3 | -7 | -1 | 3
etrue | ttrue | 8 / -4 | -2 | 0 | -2 | 0
efalse | tfalse | 8 / -3 | -4 | -4 | -2 | 2
etrue | ttrue | 8 / -2 | -4 | 0 | -4 | 0
etrue | ttrue | 8 / -1 | -8 | 0 | -8 | 0
efalse | tfalse | 9 / -10 | -2 | -11 | 0 | 9
etrue | ttrue | 9 / -9 | -1 | 0 | -1 | 0
etrue | ttrue | 9 / -8 | -1 | 1 | -1 | 1
etrue | ttrue | 9 / -7 | -1 | 2 | -1 | 2
etrue | ttrue | 9 / -6 | -1 | 3 | -1 | 3
efalse | tfalse | 9 / -5 | -3 | -6 | -1 | 4
etrue | ttrue | 9 / -4 | -2 | 1 | -2 | 1
etrue | ttrue | 9 / -3 | -3 | 0 | -3 | 0
etrue | ttrue | 9 / -2 | -4 | 1 | -4 | 1
etrue | ttrue | 9 / -1 | -9 | 0 | -9 | 0
etrue | ttrue | 10 / -10 | -1 | 0 | -1 | 0
etrue | ttrue | 10 / -9 | -1 | 1 | -1 | 1
etrue | ttrue | 10 / -8 | -1 | 2 | -1 | 2
etrue | ttrue | 10 / -7 | -1 | 3 | -1 | 3


efalse | tfalse | 10 / -6 | -3 | -8 | -1 | 4


etrue | ttrue | 10 / -5 | -2 | 0 | -2 | 0
etrue | ttrue | 10 / -4 | -2 | 2 | -2 | 2
etrue | ttrue | 10 / -3 | -3 | 1 | -3 | 1
etrue | ttrue | 10 / -2 | -5 | 0 | -5 | 0
etrue | ttrue | 10 / -1 | -10 | 0 | -10 | 0


Variation of Jones 1 works for the quadrants q0 and q2 as of 18.03:

etrue | ttrue | -10 / 1 | -10 | 0 | -10 | 0
etrue | ttrue | -10 / 2 | -5 | 0 | -5 | 0
etrue | tfalse | -10 / 3 | -4 | 2 | -3 | -1
etrue | tfalse | -10 / 4 | -3 | 2 | -2 | -2
etrue | ttrue | -10 / 5 | -2 | 0 | -2 | 0
etrue | tfalse | -10 / 6 | -2 | 2 | -1 | -4
etrue | tfalse | -10 / 7 | -2 | 4 | -1 | -3
etrue | tfalse | -10 / 8 | -2 | 6 | -1 | -2
etrue | tfalse | -10 / 9 | -2 | 8 | -1 | -1
etrue | ttrue | -10 / 10 | -1 | 0 | -1 | 0
etrue | ttrue | -9 / 1 | -9 | 0 | -9 | 0
etrue | tfalse | -9 / 2 | -5 | 1 | -4 | -1
etrue | ttrue | -9 / 3 | -3 | 0 | -3 | 0
etrue | tfalse | -9 / 4 | -3 | 3 | -2 | -1
etrue | tfalse | -9 / 5 | -2 | 1 | -1 | -4
etrue | tfalse | -9 / 6 | -2 | 3 | -1 | -3
etrue | tfalse | -9 / 7 | -2 | 5 | -1 | -2
etrue | tfalse | -9 / 8 | -2 | 7 | -1 | -1
etrue | ttrue | -9 / 9 | -1 | 0 | -1 | 0
etrue | tfalse | -9 / 10 | -1 | 1 | 0 | -9
etrue | ttrue | -8 / 1 | -8 | 0 | -8 | 0
etrue | ttrue | -8 / 2 | -4 | 0 | -4 | 0
etrue | tfalse | -8 / 3 | -3 | 1 | -2 | -2
etrue | ttrue | -8 / 4 | -2 | 0 | -2 | 0
etrue | tfalse | -8 / 5 | -2 | 2 | -1 | -3
